,xpsp0,xpsp1,xpsp2,win7sp0,win7sp1
NtMapUserPhysicalPages,0x00b2,0x00b2,0x00b2,0x00e7,0x00e7
NtMapUserPhysicalPagesScatter,0x0000,0x0000,0x0000,0x0000,0x0000
NtMapViewOfSection,0x0025,0x0025,0x0025,0x0025,0x0025
NtModifyBootEntry,,,,0x00e8,0x00e8
NtModifyDriverEntry,,,,0x00e9,0x00e9
NtNotifyChangeDirectoryFile,0x00b5,0x00b5,0x00b5,0x00ea,0x00ea
NtNotifyChangeKey,0x00b6,0x00b6,0x00b6,0x00eb,0x00eb
NtNotifyChangeMultipleKeys,0x00b7,0x00b7,0x00b7,0x00ec,0x00ec
NtNotifyChangeSession,,,,0x00ed,0x00ed
NtOpenDirectoryObject,0x0055,0x0055,0x0055,0x0055,0x0055
NtOpenEnlistment,,,,0x00ee,0x00ee
NtOpenEvent,0x003d,0x003d,0x003d,0x003d,0x003d
NtOpenEventPair,0x00b8,0x00b8,0x00b8,0x00ef,0x00ef
NtOpenFile,0x0030,0x0030,0x0030,0x0030,0x0030
NtOpenIoCompletion,0x00b9,0x00b9,0x00b9,0x00f0,0x00f0
NtOpenJobObject,0x00ba,0x00ba,0x00ba,0x00f1,0x00f1
NtOpenKey,0x000f,0x000f,0x000f,0x000f,0x000f
NtOpenKeyEx,,,,0x00f2,0x00f2
NtOpenKeyTransacted,,,,0x00f3,0x00f3
NtOpenKeyTransactedEx,,,,0x00f4,0x00f4
NtOpenKeyedEvent,0x00bb,0x00bb,0x00bb,0x00f5,0x00f5
NtOpenMutant,0x00bc,0x00bc,0x00bc,0x00f6,0x00f6
NtOpenObjectAuditAlarm,0x00bd,0x00bd,0x00bd,0x00f7,0x00f7
NtOpenPrivateNamespace,,,,0x00f8,0x00f8
NtOpenProcess,0x0023,0x0023,0x0023,0x0023,0x0023
NtOpenProcessToken,0x00be,0x00be,0x00be,0x00f9,0x00f9
NtOpenProcessTokenEx,0x002d,0x002d,0x002d,0x002d,0x002d
NtOpenResourceManager,,,,0x00fa,0x00fa
NtOpenSection,0x0034,0x0034,0x0034,0x0034,0x0034
NtOpenSemaphore,0x00bf,0x00bf,0x00bf,0x00fb,0x00fb
NtOpenSession,,,,0x00fc,0x00fc
NtOpenSymbolicLinkObject,0x00c0,0x00c0,0x00c0,0x00fd,0x00fd
NtOpenThread,0x00c1,0x00c1,0x00c1,0x00fe,0x00fe
NtOpenThreadToken,0x0021,0x0021,0x0021,0x0021,0x0021
NtOpenThreadTokenEx,0x002c,0x002c,0x002c,0x002c,0x002c
NtOpenTimer,0x00c2,0x00c2,0x00c2,0x00ff,0x00ff
NtOpenTransaction,,,,0x0100,0x0100
NtOpenTransactionManager,,,,0x0101,0x0101
NtPlugPlayControl,0x00c3,0x00c3,0x00c3,0x0102,0x0102
NtPowerInformation,0x005c,0x005c,0x005c,0x005c,0x005c
NtPrePrepareComplete,,,,0x0103,0x0103
NtPrePrepareEnlistment,,,,0x0104,0x0104
NtPrefetchVirtualMemory,,,,,
NtPrepareComplete,,,,0x0105,0x0105
NtPrepareEnlistment,,,,0x0106,0x0106
NtPrivilegeCheck,0x00c4,0x00c4,0x00c4,0x0107,0x0107
NtPrivilegeObjectAuditAlarm,0x00c5,0x00c5,0x00c5,0x0108,0x0108
NtPrivilegedServiceAuditAlarm,0x00c6,0x00c6,0x00c6,0x0109,0x0109
NtPropagationComplete,,,,0x010a,0x010a
NtPropagationFailed,,,,0x010b,0x010b
NtProtectVirtualMemory,0x004d,0x004d,0x004d,0x004d,0x004d
NtPulseEvent,0x00c7,0x00c7,0x00c7,0x010c,0x010c
NtQueryAttributesFile,0x003a,0x003a,0x003a,0x003a,0x003a
NtQueryBootEntryOrder,,,,0x010d,0x010d
NtQueryBootOptions,0x0066,0x0066,0x0066,0x010e,0x010e
NtQueryDebugFilterState,0x00ca,0x00ca,0x00ca,0x010f,0x010f
NtQueryDefaultLocale,0x0012,0x0012,0x0012,0x0012,0x0012
NtQueryDefaultUILanguage,0x0041,0x0041,0x0041,0x0041,0x0041
NtQueryDirectoryFile,0x0032,0x0032,0x0032,0x0032,0x0032
NtQueryDirectoryObject,0x00cb,0x00cb,0x00cb,0x0110,0x0110
NtQueryDriverEntryOrder,,,,0x0111,0x0111
NtQueryEaFile,0x00cd,0x00cd,0x00cd,0x0112,0x0112
NtQueryEvent,0x0053,0x0053,0x0053,0x0053,0x0053
