AhcpCdbEntryComputeChecksum,,,,, , 
CcTestControl,,,,, , 
FsRtlSyncVolumes,,,,, , 
NtDeleteWnfStateName,,,,, , 
NtDeviceIoControlFile,0x0042,0x0042,0x0042,0x0042,0x006b,0x006b
NtDisableLastKnownGood,,,,,0x006c,0x006c
NtDisplayString,0x0043,0x0043,0x0043,0x0043,0x006d,0x006d
NtDrawText,,,,,0x006e,0x006e
NtDuplicateObject,0x0044,0x0044,0x0044,0x0044,0x006f,0x006f
NtDuplicateToken,0x0045,0x0045,0x0045,0x0045,0x0070,0x0070
NtEnableLastKnownGood,,,,,0x0071,0x0071
NtEnumerateBootEntries,0x0046,0x0046,0x0046,0x0009,0x0072,0x0072
NtEnumerateDriverEntries,,,,,0x0073,0x0073
NtEnumerateKey,0x0047,0x0047,0x0047,0x0047,0x0074,0x0074
NtEnumerateSystemEnvironmentValuesEx,0x0048,0x0048,0x0048,0x0048,0x0075,0x0075
NtEnumerateTransactionObject,,,,,0x0076,0x0076
NtEnumerateValueKey,0x0049,0x0049,0x0049,0x0049,0x0077,0x0077
NtExtendSection,0x004a,0x004a,0x004a,0x004a,0x0078,0x0078
NtFilterToken,0x004b,0x004b,0x004b,0x004b,0x0079,0x0079
NtFilterTokenEx,,,,, , 
NtFindAtom,0x004c,0x004c,0x004c,0x004c,0x007a,0x007a
NtFlushBuffersFile,0x004d,0x004d,0x004d,0x004d,0x007b,0x007b
NtFlushBuffersFileEx,,,,, , 
NtFlushInstallUILanguage,,,,,0x007c,0x007c
NtFlushInstructionCache,0x004e,0x004e,0x004e,0x004e,0x007d,0x007d
NtFlushKey,0x004f,0x004f,0x004f,0x004f,0x007e,0x007e
NtFlushProcessWriteBuffers,,,,,0x007f,0x007f
NtFlushVirtualMemory,0x0050,0x0050,0x0050,0x0050,0x0080,0x0080
NtFlushWriteBuffer,0x0051,0x0051,0x0051,0x0051,0x0081,0x0081
NtFreeUserPhysicalPages,0x0052,0x0052,0x0052,0x0052,0x0082,0x0082
NtFreeVirtualMemory,0x0053,0x0053,0x0053,0x0053,0x0083,0x0083
NtFreezeRegistry,,,,,0x0084,0x0084
NtFreezeTransactions,,,,,0x0085,0x0085
NtFsControlFile,0x0054,0x0054,0x0054,0x0054,0x0086,0x0086
NtGetContextThread,0x0055,0x0055,0x0055,0x0055,0x0087,0x0087
NtGetCurrentProcessorNumber,,,,,0x0088,0x0088
NtGetDevicePowerState,0x0056,0x0056,0x0056,0x0056,0x0089,0x0089
NtGetMUIRegistryInfo,,,,,0x008a,0x008a
NtGetNextProcess,,,,,0x008b,0x008b
NtGetNextThread,,,,,0x008c,0x008c
NtGetNlsSectionPtr,,,,,0x008d,0x008d
NtGetNotificationResourceManager,,,,,0x008e,0x008e
NtGetPlugPlayEvent,0x0057,0x0057,0x0057,0x0057,0x008f,0x008f
NtGetTickCount,,,,, , 
NtGetWriteWatch,0x0058,0x0058,0x0058,0x0058,0x0090,0x0090
NtImpersonateAnonymousToken,0x0059,0x0059,0x0059,0x0059,0x0091,0x0091
NtImpersonateClientOfPort,0x005a,0x005a,0x005a,0x005a,0x0092,0x0092
NtImpersonateThread,0x005b,0x005b,0x005b,0x005b,0x0093,0x0093
NtInitializeNlsFiles,,,,,0x0094,0x0094
NtInitializeRegistry,0x005c,0x005c,0x005c,0x005c,0x0095,0x0095
NtInitiatePowerAction,0x005d,0x005d,0x005d,0x005d,0x0096,0x0096
NtIsProcessInJob,0x005e,0x005e,0x005e,0x005e,0x0097,0x0097
NtIsSystemResumeAutomatic,0x005f,0x005f,0x005f,0x005f,0x0098,0x0098
NtIsUILanguageComitted,,,,,0x0099,0x0099
NtListenChannel,,,,, , 
NtListenPort,0x0060,0x0060,0x0060,0x0060,0x009a,0x009a
NtLoadDriver,0x0061,0x0061,0x0061,0x0061,0x009b,0x009b
NtLoadKey,0x0062,0x0062,0x0062,0x0062,0x009c,0x009c
NtLoadKey2,0x0063,0x0063,0x0063,0x0063,0x009d,0x009d
NtLoadKeyEx,,,,,0x009e,0x009e
NtLockFile,0x0064,0x0064,0x0064,0x0064,0x009f,0x009f
NtLockProductActivationKeys,0x0065,0x0065,0x0065,0x0065,0x00a0,0x00a0
